Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
157,Wayne Ellington,NYK,"$7,804,878 ","$8,195,122 ",,,,,,"$7,804,878 "
158,Luka Dončić,DAL,"$7,683,360 ","$8,049,360 ","$10,174,391 ",,,,1st Round Pick,"$15,732,720 "
159,Joe Harris,BRK,"$7,670,000 ",,,,,,Early Bird Rights,"$7,670,000 "
160,Seth Curry,DAL,"$7,441,860 ","$7,813,953 ","$8,186,047 ","$8,558,140 ",,,MLE,"$32,000,000 "
161,Doug McDermott,IND,"$7,333,334 ","$7,333,333 ",,,,,,"$14,666,667 "
162,Langston Galloway,DET,"$7,333,333 ",,,,,,MLE,"$7,333,333 "
163,Derrick Rose,DET,"$7,317,073 ","$7,682,927 ",,,,,MLE,"$15,000,000 "
164,Brandon Ingram,NOP,"$7,265,485 ",,,,,,1st Round pick,"$7,265,485 "
165,D.J. Augustin,ORL,"$7,250,000 ",,,,,,Cap Space,"$7,250,000 "
166,Darius Miller,NOP,"$7,250,000 ","$7,000,000 ",,,,,,"$7,250,000 "
167,De'Andre Hunter,ATL,"$7,068,360 ","$7,422,000 ","$7,775,400 ","$9,835,881 ",,,1st Round Pick,"$14,490,360 "
168,Josh Jackson,MEM,"$7,059,480 ",,,,,,1st Round Pick,"$7,059,480 "
169,DeMarre Carroll,SAS,"$7,000,000 ","$6,650,000 ","$7,000,000 ",,,,,"$15,000,000 "
170,Dāvis Bertāns,WAS,"$7,000,000 ",,,,,,Early Bird Rights,"$7,000,000 "
171,Ersan İlyasova,MIL,"$7,000,000 ","$7,000,000 ",,,,,MLE,"$7,000,000 "
172,Jaren Jackson,MEM,"$6,927,480 ","$7,257,360 ","$9,180,560 ",,,,1st Round Pick,"$14,184,840 "
173,Nemanja Bjelica,SAC,"$6,825,000 ","$7,150,000 ",,,,,,"$6,825,000 "
174,Jaylen Brown,BOS,"$6,534,829 ","$22,991,071 ","$24,830,357 ","$26,669,643 ","$28,508,929 ",,1st Rd pick,"$109,534,829 "
175,Jabari Parker,ATL,"$6,500,000 ","$6,500,000 ",,,,,,"$6,500,000 "
176,Ivica Zubac,LAC,"$6,481,482 ","$7,000,000 ","$7,518,518 ","$7,518,518 ",,,,"$21,000,000 "
177,Joakim Noah,NYK,"$6,431,666 ","$6,431,666 ","$6,431,666 ",,,,,"$19,294,998 "
178,Darius Garland,CLE,"$6,400,920 ","$6,720,720 ","$7,040,880 ","$8,920,795 ",,,1st Round Pick,"$13,121,640 "
179,De'Aaron Fox,SAC,"$6,392,760 ","$8,099,627 ",,,,,1st Round Pick,"$14,492,387 "
180,Trae Young,ATL,"$6,273,000 ","$6,571,800 ","$8,326,471 ",,,,1st Round Pick,"$12,844,800 "
181,Montrezl Harrell,LAC,"$6,000,000 ",,,,,,,"$6,000,000 "
182,Ish Smith,WAS,"$5,853,659 ","$6,146,341 ",,,,,MLE,"$12,000,000 "
183,Marco Belinelli,SAS,"$5,846,154 ",,,,,,MLE,"$5,846,154 "
184,Jarrett Culver,MIN,"$5,813,640 ","$6,104,280 ","$6,395,160 ","$8,109,063 ",,,1st Round Pick,"$11,917,920 "
185,Jonathan Isaac,ORL,"$5,806,440 ","$7,362,566 ",,,,,1st Round Pick,"$13,169,006 "
186,Rodney Hood,POR,"$5,718,000 ","$6,003,900 ",,,,,MLE,"$5,718,000 "
187,Mo Bamba,ORL,"$5,697,600 ","$5,969,040 ","$7,568,742 ",,,,1st Round Pick,"$11,666,640 "
188,Timofey Mozgov,ORL,"$5,573,333 ","$5,573,333 ","$5,573,334 ",,,,,"$16,720,000 "
189,Trey Lyles,SAS,"$5,500,000 ","$5,500,000 ",,,,,MLE,"$5,500,000 "
190,Deron Williams,BRK,"$5,474,787 ",,,,,,,"$5,474,787 "
191,Aron Baynes,PHO,"$5,453,280 ",,,,,,,"$5,453,280 "
192,Kris Dunn,CHI,"$5,348,007 ",,,,,,1st Round pick,"$5,348,007 "
193,Josh Smith,DET,"$5,331,729 ",,,,,,,"$5,331,729 "
194,Coby White,CHI,"$5,307,120 ","$5,572,680 ","$5,837,760 ","$7,413,955 ",,,1st Round Pick,"$10,879,800 "
195,Lauri Markkanen,CHI,"$5,300,400 ","$6,731,508 ",,,,,1st Round Pick,"$12,031,908 "
196,Ryan Anderson,MIA,"$5,214,583 ","$5,214,583 ","$5,214,584 ",,,,,"$15,643,750 "
197,Wendell Carter,CHI,"$5,201,400 ","$5,448,840 ","$6,920,027 ",,,,1st Round Pick,"$10,650,240 "
198,Pau Gasol,SAS,"$5,100,000 ",,,,,,,"$5,100,000 "
199,Daniel Theis,BOS,"$5,000,000 ","$5,000,000 ",,,,,,"$5,000,000 "
200,Luol Deng,LAL,"$4,990,000 ","$4,990,000 ","$4,990,000 ",,,,,"$14,970,000 "
201,Jaxson Hayes,NOP,"$4,862,040 ","$5,105,160 ","$5,348,280 ","$6,803,012 ",,,1st Round Pick,"$9,967,200 "
202,Buddy Hield,SAC,"$4,861,208 ","$24,431,818 ","$22,477,273 ","$20,522,727 ","$18,568,182 ",,1st Round pick,"$90,861,208 "
203,Frank Ntilikina,NYK,"$4,855,800 ","$6,176,578 ",,,,,1st Round Pick,"$11,032,378 "
204,Ed Davis,UTA,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$9,772,350 "
205,Richaun Holmes,SAC,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$9,772,350 "
206,Frank Kaminsky,PHO,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$9,772,350 "
207,Mike Scott,PHI,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$9,772,350 "
208,Avery Bradley,LAL,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$9,772,350 "
209,Robin Lopez,MIL,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$4,767,000 "
210,JaMychal Green,LAC,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$4,767,000 "
211,Justin Holiday,IND,"$4,767,000 ",,,,,,Room Exception,"$4,767,000 "
212,Garrett Temple,BRK,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$4,767,000 "
213,Enes Kanter,BOS,"$4,767,000 ","$5,005,350 ",,,,,Room Exception,"$4,767,000 "
214,Collin Sexton,CLE,"$4,764,960 ","$4,991,880 ","$6,349,671 ",,,,1st Round Pick,"$9,756,840 "
215,Rodney McGruder,LAC,"$4,629,630 ","$5,000,000 ","$5,370,370 ",,,,,"$15,000,000 "
216,Kevon Looney,GSW,"$4,629,630 ","$5,000,000 ","$5,370,370 ",,,,,"$9,629,630 "
217,Rui Hachimura,WAS,"$4,469,160 ","$4,692,840 ","$4,916,160 ","$6,263,188 ",,,1st Round Pick,"$9,162,000 "
218,Dennis Smith,NYK,"$4,463,640 ","$5,686,677 ",,,,,1st Round Pick,"$10,150,317 "
219,Jamal Murray,DEN,"$4,444,746 ","$29,250,000 ","$31,590,000 ","$33,930,000 ","$36,270,000 ","$38,610,000 ",1st Round pick,"$174,094,746 "
220,Kevin Knox,NYK,"$4,380,120 ","$4,588,680 ","$5,845,978 ",,,,1st Round Pick,"$8,968,800 "
221,Cam Reddish,ATL,"$4,245,720 ","$4,458,000 ","$4,670,160 ","$5,954,454 ",,,1st Round Pick,"$8,703,720 "
222,Zach Collins,POR,"$4,240,200 ","$5,406,255 ",,,,,1st Round Pick,"$9,646,455 "
223,Mikal Bridges,PHO,"$4,161,000 ","$4,359,000 ","$5,557,725 ",,,,1st Round Pick,"$8,520,000 "
224,Alex Len,ATL,"$4,160,000 ",,,,,,Room Exception,"$4,160,000 "
225,Cameron Johnson,PHO,"$4,033,440 ","$4,235,160 ","$4,437,000 ","$5,887,899 ",,,1st Round Pick,"$8,268,600 "
226,Malik Monk,CHO,"$4,028,400 ","$5,345,687 ",,,,,1st Round Pick,"$9,374,087 "
227,Dorian Finney-Smith,DAL,"$4,000,000 ","$4,000,000 ","$4,000,000 ",,,,,"$12,000,000 "
228,JaVale McGee,LAL,"$4,000,000 ","$4,200,000 ",,,,,,"$8,200,000 "
229,Patrick McCaw,TOR,"$4,000,000 ","$4,000,000 ",,,,,MLE,"$8,000,000 "
230,Reggie Bullock,NYK,"$4,000,000 ","$4,200,000 ",,,,,Room Exception,"$5,000,000 "
231,Shai Gilgeous-Alexander,OKC,"$3,952,920 ","$4,141,320 ","$5,495,532 ",,,,1st Round Pick,"$8,094,240 "
232,Nicolò Melli,NOP,"$3,902,439 ","$4,097,561 ",,,,,Room Exception,"$8,000,000 "
233,PJ Washington,CHO,"$3,831,840 ","$4,023,600 ","$4,215,120 ","$5,808,435 ",,,1st Round Pick,"$7,855,440 "
234,Luke Kennard,DET,"$3,827,160 ","$5,273,826 ",,,,,1st Round Pick,"$9,100,986 "
235,Miles Bridges,CHO,"$3,755,400 ","$3,934,320 ","$5,421,493 ",,,,1st Round Pick,"$7,689,720 "
236,Jakob Pöltl,SAS,"$3,754,886 ",,,,,,1st Round pick,"$3,754,886 "
237,Tyler Herro,MIA,"$3,640,200 ","$3,822,240 ","$4,004,280 ","$5,722,116 ",,,1st Round Pick,"$7,462,440 "
238,Donovan Mitchell,UTA,"$3,635,760 ","$5,195,501 ",,,,,1st Round Pick,"$8,831,261 "
239,Stanley Johnson,TOR,"$3,623,000 ","$3,801,000 ",,,,,Bi-annual Exception,"$3,623,000 "
240,Jake Layman,MIN,"$3,581,986 ","$3,761,085 ","$3,940,184 ",,,,,"$11,283,255 "
241,Thon Maker,DET,"$3,569,643 ",,,,,,1st Round pick,"$3,569,643 "
242,Jerome Robinson,LAC,"$3,567,720 ","$3,737,520 ","$5,340,916 ",,,,1st Round Pick,"$7,305,240 "
243,Allonzo Trier,NYK,"$3,551,100 ",,,,,,Bi-Annual Exception,"$3,551,100 "
244,Danuel House,HOU,"$3,540,000 ","$3,717,000 ","$3,894,000 ",,,,MLE,"$11,151,000 "
245,Domantas Sabonis,IND,"$3,529,555 ","$17,187,500 ","$18,562,500 ","$19,937,500 ","$21,312,500 ",,1st Round pick,"$80,529,555 "
246,Mirza Teletović,MIL,"$3,500,000 ","$3,500,000 ",,,,,,"$7,000,000 "
247,Boban Marjanović,DAL,"$3,500,000 ","$3,500,000 ",,,,,Bi-Annual Exception,"$7,000,000 "
248,T.J. McConnell,IND,"$3,500,000 ","$3,500,000 ",,,,,Cap Space,"$4,500,000 "
249,DeMarcus Cousins,LAL,"$3,500,000 ",,,,,,,"$3,500,000 "
250,Taurean Waller-Prince,BRK,"$3,481,986 ","$13,942,308 ","$15,057,692 ",,,,1st Round pick,"$32,481,986 "
251,Dario Šarić,PHO,"$3,481,986 ",,,,,,1st Round pick,"$3,481,986 "
252,Romeo Langford,BOS,"$3,458,400 ","$3,631,200 ","$3,804,360 ","$5,634,257 ",,,1st Round Pick,"$7,089,600 "
253,Bam Adebayo,MIA,"$3,454,080 ","$5,115,492 ",,,,,1st Round Pick,"$8,569,572 "
254,Kyle Korver,PHO,"$3,440,000 ",,,,,,,"$3,440,000 "
255,Michael Porter,DEN,"$3,389,400 ","$3,550,800 ","$5,258,735 ",,,,1st Round Pick,"$6,940,200 "
256,Denzel Valentine,CHI,"$3,377,569 ",,,,,,1st Round pick,"$3,377,569 "
257,Juan Hernangómez,DEN,"$3,321,030 ",,,,,,1st Round pick,"$3,321,030 "
258,Sekou Doumbouya,DET,"$3,285,120 ","$3,449,400 ","$3,613,680 ","$5,539,771 ",,,1st Round Pick,"$6,734,520 "
259,Justin Jackson,DAL,"$3,280,920 ","$5,029,650 ",,,,,1st Round Pick,"$8,310,570 "
260,Troy Brown,WAS,"$3,219,480 ","$3,372,840 ","$5,170,564 ",,,,1st Round Pick,"$6,592,320 "
261,Markieff Morris,DET,"$3,200,000 ","$3,360,000 ",,,,,Bi-annual Exception,"$3,200,000 "
262,Jon Leuer,MIL,"$3,169,348 ","$3,169,348 ","$3,169,347 ",,,,,"$9,508,043 "
263,Yogi Ferrell,SAC,"$3,150,000 ",,,,,,Cap Space,"$3,150,000 "
264,Guerschon Yabusele,BOS,"$3,117,240 ",,,,,,,"$3,117,240 "
265,Zhaire Smith,PHI,"$3,058,800 ","$3,204,600 ","$4,915,856 ",,,,1st Round Pick,"$6,263,400 "
266,Dwight Howard,MEM,"$3,039,097 ",,,,,,,"$3,039,097 "
267,Khem Birch,ORL,"$3,000,000 ","$3,000,000 ",,,,,,"$6,000,000 "
268,Ryan Arcidiacono,CHI,"$3,000,000 ","$3,000,000 ","$3,000,000 ",,,,,"$6,000,000 "
269,Quinn Cook,LAL,"$3,000,000 ","$3,000,000 ",,,,,,"$4,000,000 "
270,Ömer Aşık,CHI,"$3,000,000 ",,,,,,,"$3,000,000 "
271,Nickeil Alexander-Walker,NOP,"$2,964,840 ","$3,113,160 ","$3,261,480 ","$5,009,633 ",,,1st Round Pick,"$6,078,000 "
272,D.J. Wilson,MIL,"$2,961,120 ","$4,548,280 ",,,,,1st Round Pick,"$7,509,400 "
273,Cedi Osman,CLE,"$2,907,143 ","$8,750,000 ","$8,050,000 ","$7,350,000 ","$6,650,000 ",,MLE,"$27,057,143 "
274,Donte DiVincenzo,MIL,"$2,905,800 ","$3,044,160 ","$4,675,830 ",,,,1st Round Pick,"$5,949,960 "
275,Bryn Forbes,SAS,"$2,875,000 ",,,,,,Early Bird Rights,"$2,875,000 "
276,Andrew Nicholson,POR,"$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ",,,"$14,222,145 "
277,Goga Bitadze,IND,"$2,816,760 ","$2,957,520 ","$3,098,400 ","$4,765,339 ",,,1st Round Pick,"$5,774,280 "
278,T.J. Leaf,IND,"$2,813,280 ","$4,326,825 ",,,,,1st Round Pick,"$7,140,105 "
279,Lonnie Walker,SAS,"$2,760,480 ","$2,892,000 ","$4,447,896 ",,,,1st Round Pick,"$5,652,480 "
280,Alex Caruso,LAL,"$2,750,000 ","$2,750,000 ",,,,,,"$5,500,000 "
281,Malik Beasley,DEN,"$2,731,714 ",,,,,,1st Round pick,"$2,731,714 "
282,Luka Šamanić,SAS,"$2,689,920 ","$2,824,320 ","$2,959,080 ","$4,556,983 ",,,1st Round Pick,"$5,514,240 "
283,John Collins,ATL,"$2,686,560 ","$4,137,302 ",,,,,1st Round Pick,"$6,823,862 "
284,Kevin Huerter,ATL,"$2,636,280 ","$2,761,920 ","$4,253,357 ",,,,1st Round Pick,"$5,398,200 "
285,Caris LeVert,BRK,"$2,625,718 ","$16,203,704 ","$17,500,000 ","$18,796,296 ",,,1st Round pick,"$55,125,718 "
286,Marko Guduric,MEM,"$2,625,000 ","$2,750,000 ",,,,,Bi-annual Exception,"$5,375,000 "
287,DeAndre' Bembry,ATL,"$2,603,982 ",,,,,,1st Round pick,"$2,603,982 "
288,Matisse Thybulle,PHI,"$2,582,160 ","$2,711,280 ","$2,840,160 ","$4,379,527 ",,,1st Round Pick,"$5,293,440 "
289,Harry Giles,SAC,"$2,578,800 ",,,,,,1st Round Pick,"$2,578,800 "
290,Jeff Green,UTA,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
291,Pau Gasol,POR,"$2,564,753 ",,,,,,,"$2,564,753 "
292,Anthony Tolliver,POR,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
293,Wesley Matthews,MIL,"$2,564,753 ","$2,692,991 ",,,,,,"$2,564,753 "
294,Kyle Korver,MIL,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
295,Udonis Haslem,MIA,"$2,564,753 ",,,,,,Minimum Salary,"$2,564,753 "
