Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
340,Kyle O'Quinn,PHI,"$2,028,594 ",,,,,,Minimum Salary,"$2,028,594 "
341,Michael Carter-Williams,ORL,"$2,028,594 ",,,,,,Minimum Salary,"$2,028,594 "
342,Mike Muscala,OKC,"$2,028,594 ","$2,283,034 ",,,,,,"$2,028,594 "
343,Nerlens Noel,OKC,"$2,028,594 ",,,,,,Minimum Salary,"$2,028,594 "
344,Troy Daniels,LAL,"$2,028,594 ",,,,,,Minimum Salary,"$2,028,594 "
345,Trey Burke,PHI,"$2,028,594 ",,,,,,Minimum Salary,"$810,000 "
346,Spencer Hawes,MIL,"$2,007,058 ",,,,,,,"$2,007,058 "
347,Edmond Sumner,IND,"$2,000,000 ","$2,160,000 ","$2,320,000 ",,,,,"$4,160,000 "
348,Noah Vonleh,MIN,"$2,000,000 ",,,,,,MLE,"$2,000,000 "
349,Avery Bradley,MEM,"$2,000,000 ",,,,,,,"$2,000,000 "
350,Landry Shamet,LAC,"$1,995,120 ","$2,090,040 ","$3,768,342 ",,,,1st Round Pick,"$4,085,160 "
351,Mfiondu Kabengele,LAC,"$1,977,000 ","$2,075,880 ","$2,174,880 ","$3,923,484 ",,,1st Round Pick,"$4,052,880 "
352,Kyle Kuzma,LAL,"$1,974,600 ","$3,562,178 ",,,,,1st Round Pick,"$5,536,778 "
353,Jordan Poole,GSW,"$1,964,760 ","$2,063,280 ","$2,161,440 ","$3,901,399 ",,,1st Round Pick,"$4,028,040 "
354,Tony Bradley,UTA,"$1,962,360 ","$3,542,060 ",,,,,1st Round Pick,"$5,504,420 "
355,Keldon Johnson,SAS,"$1,950,600 ","$2,048,040 ","$2,145,720 ","$3,873,025 ",,,1st Round Pick,"$3,998,640 "
356,Derrick White,SAS,"$1,948,080 ","$3,516,284 ",,,,,1st Round Pick,"$5,464,364 "
357,Robert Williams,BOS,"$1,937,520 ","$2,029,920 ","$3,661,976 ",,,,1st Round Pick,"$3,967,440 "
358,Josh Hart,NOP,"$1,934,160 ","$3,491,159 ",,,,,1st Round Pick,"$5,425,319 "
359,Jacob Evans,GSW,"$1,925,880 ","$2,017,320 ","$3,641,263 ",,,,1st Round Pick,"$3,943,200 "
360,Anderson Varejão,POR,"$1,913,345 ","$1,913,345 ",,,,,,"$3,826,690 "
361,Džanan Musa,BRK,"$1,911,600 ","$2,002,800 ","$3,615,054 ",,,,1st Round Pick,"$3,914,400 "
362,Omari Spellman,GSW,"$1,897,800 ","$1,988,280 ","$3,588,845 ",,,,1st Round Pick,"$3,886,080 "
363,James Ennis,PHI,"$1,882,867 ","$2,071,978 ",,,,,,"$1,882,867 "
364,Shabazz Napier,MIN,"$1,882,867 ",,,,,,Cap Space,"$1,882,867 "
365,Glenn Robinson,GSW,"$1,882,867 ","$2,071,978 ",,,,,,"$1,882,867 "
366,Tim Frazier,DET,"$1,882,867 ",,,,,,,"$1,882,867 "
367,Ben McLemore,HOU,"$1,882,867 ","$2,130,023 ",,,,,,"$500,000 "
368,Larry Sanders,MIL,"$1,865,547 ","$1,865,547 ","$1,865,547 ",,,,,"$5,596,641 "
369,Bruno Caboclo,MEM,"$1,845,301 ",,,,,,,"$300,000 "
370,Mario Hezonja,POR,"$1,737,145 ","$1,882,867 ",,,,,Minimum Salary,"$3,620,012 "
371,Emmanuel Mudiay,UTA,"$1,737,145 ",,,,,,Minimum Salary,"$1,737,145 "
372,Raul Neto,PHI,"$1,737,145 ",,,,,,Minimum Salary,"$1,737,145 "
373,JaKarr Sampson,IND,"$1,737,145 ",,,,,,Minimum Salary,"$1,737,145 "
374,Pat Connaughton,MIL,"$1,723,050 ",,,,,,,"$1,723,050 "
375,Jahlil Okafor,NOP,"$1,702,486 ",,,,,,Minimum Salary,"$54,323 "
376,Rodions Kurucs,BRK,"$1,699,236 ","$1,780,152 ","$1,861,068 ",,,,,"$3,479,388 "
377,Jonah Bolden,PHI,"$1,698,450 ","$1,766,550 ","$1,845,000 ",,,,,"$1,698,450 "
378,Cheick Diallo,PHO,"$1,678,854 ","$1,824,003 ",,,,,Minimum Salary,"$1,678,854 "
379,Treveon Graham,MIN,"$1,678,854 ",,,,,,Minimum Salary,"$1,678,854 "
380,David Nwaba,BRK,"$1,678,854 ","$1,824,003 ",,,,,,"$1,678,854 "
381,Dragan Bender,MIL,"$1,678,854 ","$1,824,003 ",,,,,Minimum Salary,"$600,000 "
382,Marquese Chriss,GSW,"$1,678,854 ",,,,,,,
383,Willy Hernangómez,CHO,"$1,676,735 ",,,,,,Cap Space,"$1,676,735 "
384,Derrick Jones,MIA,"$1,645,357 ",,,,,,Minimum Salary,"$1,645,357 "
385,Christian Wood,DET,"$1,645,357 ",,,,,,Minimum Salary,"$822,679 "
386,Jordan McRae,WAS,"$1,645,357 ",,,,,,,"$600,000 "
387,Georges Niang,UTA,"$1,645,357 ","$1,783,557 ",,,,,,
388,Furkan Korkmaz,PHI,"$1,620,564 ","$1,762,796 ",,,,,Minimum Salary,"$1,620,564 "
389,Jordan Bell,MIN,"$1,620,564 ",,,,,,Minimum Salary,"$1,620,564 "
390,Justin Patton,OKC,"$1,620,564 ","$1,762,796 ","$1,910,860 ",,,,,"$700,000 "
391,Wesley Iwundu,ORL,"$1,618,520 ",,,,,,,"$1,618,520 "
392,Abdel Nader,OKC,"$1,618,520 ","$1,752,950 ",,,,,,"$1,618,520 "
393,Damyean Dotson,NYK,"$1,618,520 ",,,,,,Minimum Salary,"$1,618,520 "
394,Frank Jackson,NOP,"$1,618,520 ",,,,,,MLE,"$1,618,520 "
395,Sterling Brown,MIL,"$1,618,520 ",,,,,,MLE,"$1,618,520 "
396,Dillon Brooks,MEM,"$1,618,520 ",,,,,,MLE,"$1,618,520 "
397,Dwayne Bacon,CHO,"$1,618,520 ",,,,,,MLE,"$1,618,520 "
398,Semi Ojeleye,BOS,"$1,618,520 ","$1,752,950 ",,,,,,"$1,618,520 "
399,Royce O'Neale,UTA,"$1,618,520 ",,,,,,,
400,Chris Boucher,TOR,"$1,588,231 ",,,,,,,"$1,588,231 "
401,Malcolm Miller,TOR,"$1,588,231 ",,,,,,,"$1,588,231 "
402,Monte Morris,DEN,"$1,588,231 ","$1,663,861 ",,,,,Minimum Salary,"$1,588,231 "
403,Alfonzo McKinnie,CLE,"$1,588,231 ",,,,,,,
404,Tyrone Wallace,ATL,"$1,588,231 ",,,,,,,
405,Mitchell Robinson,NYK,"$1,559,712 ","$1,663,861 ","$1,802,057 ",,,,MLE,"$1,559,712 "
406,Vlatko Čančar,DEN,"$1,517,981 ","$898,310 ","$1,782,621 ",,,,MLE,"$2,416,291 "
407,Isaiah Roby,DAL,"$1,500,000 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$3,017,981 "
408,Nigel Williams-Goss,UTA,"$1,500,000 ","$1,517,981 ","$1,782,621 ",,,,,"$1,500,000 "
409,J.R. Smith,CLE,"$1,456,667 ","$1,456,667 ","$1,456,666 ",,,,,"$4,370,000 "
410,Shake Milton,PHI,"$1,445,697 ","$1,701,593 ","$1,846,738 ","$1,997,718 ",,,Two-Way Contract,"$4,994,028 "
411,Thanasis Antetokounmpo,MIL,"$1,445,697 ","$1,701,593 ",,,,,Minimum Salary,"$3,147,290 "
412,Theo Pinson,BRK,"$1,445,697 ","$1,701,593 ",,,,,,"$1,445,697 "
413,Brad Wanamaker,BOS,"$1,445,697 ",,,,,,Minimum Salary,"$1,445,697 "
414,Derrick Walton,LAC,"$1,445,697 ",,,,,,,
415,Ryan Broekhoff,DAL,"$1,443,842 ",,,,,,,"$1,443,842 "
416,Gary Trent,POR,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$3,080,713 "
417,Isaac Bonga,WAS,"$1,416,852 ","$1,663,861 ",,,,,,"$1,416,852 "
418,Chimezie Metu,SAS,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
419,Jevon Carter,PHO,"$1,416,852 ",,,,,,MInimum Salary,"$1,416,852 "
420,Elie Okobo,PHO,"$1,416,852 ","$1,663,861 ","$1,802,057 ",,,,,"$1,416,852 "
421,Melvin Frazier,ORL,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
422,Deonte Burton,OKC,"$1,416,852 ",,,,,,,"$1,416,852 "
423,Hamidou Diallo,OKC,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
424,Kenrich Williams,NOP,"$1,416,852 ",,,,,,Minimum Salary,"$1,416,852 "
425,Keita Bates-Diop,MIN,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
426,Duncan Robinson,MIA,"$1,416,852 ","$1,663,861 ",,,,,,"$1,416,852 "
427,De'Anthony Melton,MEM,"$1,416,852 ",,,,,,,"$1,416,852 "
428,Alize Johnson,IND,"$1,416,852 ",,,,,,Minimum Salary,"$1,416,852 "
429,Bruce Brown,DET,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
430,Sviatoslav Mykhailiuk,DET,"$1,416,852 ","$1,663,861 ",,,,,Cap Space,"$1,416,852 "
431,Jarred Vanderbilt,DEN,"$1,416,852 ","$1,663,861 ",,,,,Cap Space,"$1,416,852 "
432,Devonte' Graham,CHO,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
433,Isaiah Hartenstein,HOU,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$708,426 "
434,Gary Clark,HOU,"$1,416,852 ","$1,663,861 ",,,,,,"$708,426 "
435,Kendrick Nunn,MIA,"$1,416,852 ","$1,663,861 ",,,,,,"$450,000 "
436,Jalen Brunson,DAL,"$1,416,582 ","$1,663,861 ","$1,802,057 ",,,,Cap Space,"$3,080,443 "
437,Bruno Fernando,ATL,"$1,400,000 ","$1,517,981 ","$1,782,621 ",,,,,"$4,700,602 "
438,Jaylen Nowell,MIN,"$1,400,000 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$1,400,000 "
439,Amile Jefferson,ORL,"$1,355,851 ","$1,701,593 ",,,,,,
440,Kevin Porter,CLE,"$1,290,960 ","$2,033,160 ","$2,130,240 ","$3,845,083 ",,,1st Round Pick,"$3,324,120 "
441,Carsen Edwards,BOS,"$1,200,000 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,,"$4,500,602 "
442,Cody Martin,CHO,"$1,173,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$4,473,912 "
443,George Hill,MIL,"$1,000,000 ",,,,,,,"$21,000,000 "
444,Terance Mann,LAC,"$1,000,000 ","$1,517,984 ","$1,782,621 ","$1,930,681 ",,,,"$2,517,984 "
445,Jonathon Simmons,WAS,"$1,000,000 ",,,,,,,"$1,000,000 "
446,Justin Hamilton,TOR,"$1,000,000 ",,,,,,,"$1,000,000 "
447,Kyle Singler,OKC,"$999,200 ","$999,200 ","$999,200 ","$999,200 ",,,,"$3,996,800 "
448,Admiral Schofield,WAS,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$4,198,912 "
449,KZ Okpala,MIA,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$4,198,912 "
450,Eric Paschall,GSW,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$4,198,912 "
451,Nicolas Claxton,BRK,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$4,198,912 "
452,Justin James,SAC,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$2,416,291 "
453,Jalen Lecque,PHO,"$898,310 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,,"$2,416,291 "
454,Ignas Brazdeikis,NYK,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$2,416,291 "
455,Talen Horton-Tucker,LAL,"$898,310 ","$1,517,981 ",,,,,Minimum Salary,"$2,416,291 "
456,Daniel Gafford,CHI,"$898,310 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,Minimum Salary,"$2,416,291 "
457,Alen Smailagić,GSW,"$898,310 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$2,415,891 "
458,Matt Thomas,TOR,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$1,623,310 "
459,Miye Oni,UTA,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$898,310 "
460,Terence Davis,TOR,"$898,310 ","$1,517,981 ",,,,,Minimum Salary,"$898,310 "
461,Naz Reid,MIN,"$898,310 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$898,310 "
462,Dewan Hernandez,TOR,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$500,000 "
463,Justin Robinson,WAS,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$250,000 "
464,Shaquille Harrison,CHI,"$898,310 ",,,,,,,"$175,000 "
465,Javonte Green,BOS,"$898,310 ","$1,517,981 ",,,,,Minimum Salary,"$100,000 "
466,Caleb Martin,CHO,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,,
467,Wenyen Gabriel,SAC,"$898,310 ",,,,,,,
468,Khyri Thomas,DET,"$838,464 ","$1,663,861 ",,,,,MLE,"$838,464 "
469,Patrick Patterson,OKC,"$737,067 ","$737,067 ","$737,066 ",,,,,"$2,211,200 "
470,Cole Aldrich,MIN,"$685,340 ","$685,340 ",,,,,,"$1,370,680 "
471,Shaun Livingston,GSW,"$666,667 ","$666,667 ","$666,666 ",,,,,"$2,666,666 "
472,Ryan Anderson,HOU,"$500,000 ",,,,,,,"$500,000 "
473,Dakari Johnson,MEM,"$459,414 ","$459,414 ",,,,,,"$918,828 "
474,Max Strus,BOS,"$415,414 ",,,,,,,"$415,414 "
475,Ivan Rabb,MEM,"$371,758 ",,,,,,,"$371,758 "
476,A.J. Hammons,MIA,"$350,087 ","$350,087 ",,,,,,"$700,174 "
477,Festus Ezeli,POR,"$333,333 ",,,,,,,"$333,333 "
478,C.J. Watson,ORL,"$333,333 ",,,,,,,"$333,333 "
479,Stanton Kidd,UTA,"$250,000 ",,,,,,,"$250,000 "
480,Joe Johnson,DET,"$220,000 ",,,,,,,"$220,000 "
481,Jemerrio Jones,WAS,"$199,000 ",,,,,,,"$199,000 "
482,Cameron Payne,TOR,"$150,000 ",,,,,,,"$150,000 "
483,Troy Williams,HOU,"$122,741 ","$122,741 ","$122,741 ","$122,741 ",,,,"$490,964 "
484,Yante Maten,MIA,"$100,000 ",,,,,,,"$100,000 "
485,Jaylen Adams,ATL,"$100,000 ",,,,,,,"$100,000 "
486,Demetrius Jackson,BOS,"$92,857 ","$92,857 ","$92,857 ","$92,857 ","$92,857 ",,,"$464,285 "
487,William Howard,UTA,"$50,000 ",,,,,,,"$50,000 "
488,Isaiah Taylor,TOR,"$50,000 ",,,,,,,"$50,000 "
489,Tyler Lydon,SAC,"$50,000 ",,,,,,,"$50,000 "
490,Hollis Thompson,SAC,"$50,000 ",,,,,,,"$50,000 "
491,Tyler Ulis,SAC,"$50,000 ",,,,,,,"$50,000 "
